"Table 1 – Share of disposable income by income quintile, including gap between top two and bottom two income quintiles"
" "," Average (2010 to 2019)"," 2020"," 2021"," 2022"
"","%","%","%","%"
"Disposable income quintile","","","",""
"Lowest income quintile","6.3","7.4","7.1","7.1"
"Second income quintile","12.6","13.5","13.3","13.5"
"Third income quintile","17.2","17.5","17.6","17.4"
"Fourth income quintile","23.3","23.6","23.0","23.0"
"Highest income quintile","40.7","38.1","39.1","39.0"
"Gap between top two and bottom two income quintiles","45.1","40.8","41.7","41.4"
"","","","",""
"Source(s):"
"Table 36-10-0587-01."
